ID,State,Operator Name,Mine Name,Mine Type,Coal or Metal,Status,Commodity
3503598,OR ,Newberg Rock & Dirt  ,Newberg Rock & Dirt,Surface,M ,Active ,"Crushed, Broken Stone NEC "
1401575,KS ,Bender Sand & Dirt  ,BENDER SAND & DIRT,Surface,M ,Intermittent ,Construction Sand and Gravel 
5001797,AK ,Dirt Company  ,Bush Pilot,Surface,M ,Intermittent ,Construction Sand and Gravel 
2103723,MN ,Dirt Doctor Inc  ,Rock Lake Plant,Surface,M ,Intermittent ,Construction Sand and Gravel 
2103914,MN ,Dirt Work Specialists LLC  ,Astec Plant,Surface,M ,Intermittent ,Construction Sand and Gravel 
4104757,TX ,Dirt Works  ,Portable #1,Surface,M ,Intermittent ,Construction Sand and Gravel 
801306,FL ,"Holley Dirt Company, Inc  ",River Road Pit,Surface,M ,Active ,"Sand, Common "
3901432,SD ,Krueger Brothers Gravel & Dirt  ,PORTABLE SCREENER,Surface,M ,Intermittent ,Construction Sand and Gravel 
3609624,PA ,M R Dirt  ,Forbes Pit,Surface,M ,Temporarily Idled ,Construction Sand and Gravel 
3609931,PA ,M.R. Dirt Inc.  ,Camptown Quarry,Surface,M ,Intermittent ,Dimension Stone NEC 
1519799,KY ,"P B Dirt Movers, Inc  ",Fedscreek Surface,Surface,C ,Active ,Coal (Bituminous) 
4407379,VA ,"P B Dirt Movers, Inc.  ",No. 3,Surface,C ,New Mine , 
4407296,VA ,PB Dirt Movers  ,Mine No. 6,Underground,C ,Temporarily Idled ,Coal (Bituminous) 
203332,AZ ,"Prescott Dirt, LLC  ",Sandretto Drive,Surface,M ,Intermittent ,Construction Sand and Gravel 
2901986,NM ,R D Blankenship Dirt Work LLC  ,R D BLANKENSHIP DIRT WORK,Surface,M ,Active ,Construction Sand and Gravel 
801417,FL ,"Sand & Dirt, Inc  ",Molino Pit,Surface,M ,Active ,"Sand, Common "
4300768,VT ,SIMPSON DIRTWORX LLC  ,Pettibone Jaw Crusher,Surface,M ,Intermittent ,Construction Sand and Gravel 
4300776,VT ,SIMPSON DIRTWORX LLC  ,Chieftan 1400,Surface,M ,Intermittent ,Construction Sand and Gravel 
2302283,MO ,"Spry's Dirt & Gravel, Inc.  ",Mike's Money Pit,Surface,M ,Intermittent ,Construction Sand and Gravel 
2103518,MN ,Vogt Dirt Service  ,Crusher,Surface,M ,Intermittent ,Construction Sand and Gravel 
